PackageID,Name,VersionOnWeb,CheckUrl,IsOfficialLink,DownloadUrl
AAA00014,chrome,98.0.4758.102,https://omahaproxy.appspot.com/win,True,https://chromeenterprise.google/browser/download/thank-you/?platform=WIN64_MSI&channel=stable&usagestats=0
AAA00025,edge,98.0.1108.56,https://www.microsoft.com/ru-ru/edge/business/download,True,https://msedge.sf.dl.delivery.mp.microsoft.com/filestreamingservice/files/6a6c1d52-db7d-4a6f-9acb-8bde082025ed/MicrosoftEdgeEnterpriseX64.msi
AAA00022,yandex,22.1.0,https://browser.yandex.ru/constructor/,True,https://browser.yandex.ru/constructor/build/2bbda80e-1d48-4c3c-99a0-3dce6f25edd8/
AAA000BA,firefox,97.0,https://www.mozilla.org/en-US/firefox/releases/,True,https://www.mozilla.org/ru/firefox/enterprise/#download
AAA00012,reader,21.011.20039,https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html,True,https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html
AAA00071,xmind,3.7.9,https://www.xmind.net/download/previous/,True,https://www.xmind.net/download/xmind8
AAA00016,java,8u321,https://www.oracle.com/java/technologies/,True,https://java.com/ru/download/manual.jsp
AAA0000B,far,3.0.5959,https://www.farmanager.com/download.php?l=ru,True,https://www.farmanager.com/download.php?l=ru
AAA000B8,powerbi,2.102.683.0,https://www.microsoft.com/ru-RU/download/details.aspx?id=58494,True,https://www.microsoft.com/ru-ru/download/confirmation.aspx?id=58494
AAA00070,notepad,8.3.1,https://notepad-plus-plus.org/downloads/,True,https://notepad-plus-plus.org/downloads/
AAA0001E,bitrix,12.0.26.60,https://bitrix24.ru.malavida.com/windows/#gref,False,https://www.bitrix24.ru/features/desktop.php
AAA0006F,microsip,3.20.7,https://www.microsip.org/downloads,True,https://www.microsip.org/downloads
AAA00042,skype,8.80.0.195,https://www.techspot.com/downloads/50-skype.html,False,https://go.skype.com/windows.desktop.download
AAA00023,openshell,4.4.169-beta,https://github.com/Open-Shell/Open-Shell-Menu/tags,True,https://github.com/Open-Shell/Open-Shell-Menu/releases
AAA0008A,aimp,failed,https://www.aimp.ru/?do=download&os=windows,True,https://www.aimp.ru/?do=download.file&id=4
AAA00062,freecommander,2022  Build  861,https://freecommander.com/ru/%D0%B7%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B8/,True,https://freecommander.com/ru/%D0%B7%D0%B0%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B8/
AAA000B9,rdm,2022.1.13.0,https://remotedesktopmanager.com/home/downloadenterprise,True,https://remotedesktopmanager.com/home/downloadenterprise
AAA00017,7zip,21.07,https://www.7-zip.org/,True,https://www.7-zip.org/
AAA00027,winrar,6.11  beta  1,https://www.rarlab.com/download.htm,True,https://www.rarlab.com/download.htm
AAA00013,vlc,3.0.16,https://www.videolan.org/vlc/index.ru.html,True,https://get.videolan.org/vlc/last/win64/
AAA0003A,freecam,8.7.0,https://www.ispring.ru/ispring-free-cam/thanks-for-download?said=1683793&type=static,True,https://www.ispring.ru/ispring-free-cam
AAA00047,lightshot,5.5.0.7,https://community.chocolatey.org/packages/lightshot.install,False,https://app.prntscr.com/ru/download.html
AAA000BE,paintnet,4.3.8,https://github.com/paintdotnet/release/releases/latest,True,https://github.com/paintdotnet/release/releases
AAA0004C,fsvrecorder,3.0.50.708,https://www.dvdvideosoft.com/ru/products/dvd/Free-Screen-Video-Recorder.htm,True,https://www.dvdvideosoft.com/ru/products/dvd/Free-Screen-Video-Recorder.htm
AAA00046,itunes,12.12.2.2,https://community.chocolatey.org/packages/iTunes,False,https://www.apple.com/itunes/download/win64
AAA0002E,joplin,2.6.10,https://github.com/laurent22/joplin/releases/latest,True,https://github.com/laurent22/joplin/releases/latest
AAA0003B,joxi,3.0.17,https://softobase.com/ru/joxi,False,http://joxi.ru/download/win
AAA00044,keepassxc,2.6.6,https://keepassxc.org/download/#windows,True,https://keepassxc.org/download/#windows
